Date_Submittted,Analyte_(Lead),Result_Lead_(PPB),Analyte_(Copper),Result_Copper_(PPB),Address,City,Zip_Code,Site_Code,Service_Line_Material,Sample_Location,Sentinel_Group_Number
16-Feb-16,Lead,0,Copper,0,POLLY ST   ,FLINT,48505,FS0001,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,E CARPENTER RD  ,FLINT,48505,FS0002,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,E HOLBROOK AVE  ,FLINT,48505,FS0005,Copper,BATHROOM,1
16-Feb-16,Lead,0,Copper,0,E HOME AVE  ,FLINT,48505,FS0007,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,E LYNDON AVE  ,FLINT,48505,FS0013,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,INDUSTRIAL AVE   ,FLINT,48505,FS0014,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,BIRCHCREST DR   ,FLINT,48504,FS0027,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,280,CLIO RD   ,FLINT,48504,FS0029,Copper,BATHROOM,1
16-Feb-16,Lead,0,Copper,0,KELLAR AVE   ,FLINT,48504,FS0030,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,W RANKIN ST  ,FLINT,48505,FS0037,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,W JAMIESON ST  ,FLINT,48505,FS0041,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,WYOMING AVE   ,FLINT,48506,FS0055,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,WOODROW AVE   ,FLINT,48506,FS0057,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,60,CRAIG DR   ,FLINT,48506,FS0061,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,N CENTER RD  ,FLINT,48506,FS0077,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,E LORADO AVE  ,FLINT,48505,FS0147,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,70,E PARKWAY AVE  ,FLINT,48505,FS0152,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,W YORK AVE  ,FLINT,48505,FS0154,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,W BUNDY AVE  ,FLINT,48505,FS0155,Copper,BATHROOM,1
16-Feb-16,Lead,0,Copper,0,CHANDLER AVE   ,FLINT,48503,FS0165,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,70,BARRINGTON DR   ,FLINT,48503,FS0176,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,S CUMBERLAND ST  ,FLINT,48503,FS0180,Copper,BATHROOM,1
26-Feb-16,Lead,0,Copper,0,S CUMBERLAND ST  ,FLINT,48503,FS0180,Copper,BATHROOM,1
16-Feb-16,Lead,0,Copper,160,GIBSON ST   ,FLINT,48503,FS0189,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,WESTWOOD PKWY   ,FLINT,48503,FS0212,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,KNAPP AVE   ,FLINT,48503,FS0255,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,CORUNNA RD   ,FLINT,48503,FS0257,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,GAINEY AVE   ,FLINT,48503,FS0263,Copper,KITCHEN,1
16-Feb-16,Lead,0,Copper,0,MILLER RD   ,FLINT,48503,FS0265,Copper,KITCHEN,1
